DATE; LAT ; LGT ;ПЛАТНЫЕ;ФЕДЕРАЛЬНАЯ ЛЬГОТА;РЕГИОНАЛЬНАЯ ЛЬГОТА;ДРУГИЕ ВИДЫ ЛЬГОТ;
12:00;38.189444;54.8575;4564;1473;1928;2623;16341
12:00;37.514167;55.311111;4584;532;1977;209;23819
12:00;38.451167;55.461;6900;17;52;187;40561
12:00;39.116667;55.559722;2323;189;291;760;3543
12:00;37.029556;55.626389;2574;22;95;311;12416
12:00; 37.45125;55.683556;50581;3785;6165;4430;56709
12:00; 37.43;55.775556;83749;5154;21354;9476;284266
12:00;37.863056;55.78;11751;3;74;12;14381
12:00; 37.726194;55.890167;125537;4395;10433;10253;218564
12:00;38.03625;55.906278;5219;1287;939;838;14778
12:00;37.527889;55.924444;7406;152;2739;2418;23717
12:00;37.861056;55.946861;6465;834;1397;1034;21954
12:00;37.504639;55.970694;8632;304;751;324;20272
12:00;37.946861;56.161333;5861;3975;2314;1562;16337
12:00;37.965944;56.190361;2305;240;578;242;5355
12:00;38.27335;54.80157;2172;718;722;3407;7292
12:00;38.24475;54.8297;1252;8;51;85;2525
12:00;38.07723;54.90812;7690;1662;2299;1659;23508
12:00;38.55803;54.927;14827;3234;4917;2257;32701
12:00;37.45093;54.93472;5002;1386;2810;956;22319
12:00;39.04108;54.98196;1260;868;592;292;4295
12:00;38.91557;55.02676;2417;3;6;0;11814
12:00;38.80447;55.08541;17817;428;792;3455;54176
12:00;38.781;55.09848;2243;1333;1073;755;9707
12:00;37.95955;55.12107;6825;679;1338;1186;28382
12:00;37.48862;55.14847;7986;509;1239;1177;45441
12:00;37.48743;55.18016;5075;137;303;0;7010
12:00;37.49463;55.24843;4528;415;677;652;26260
12:00;38.75424;55.2522;1405;214;596;159;5833
12:00;37.89449;55.26937;7571;724;1370;678;25229
12:00;37.50515;55.27976;3377;37;130;4;12703
12:00;37.86353;55.31733;7992;25;49;10;36714
12:00;38.68798;55.32642;21550;323;721;2607;64586
12:00;37.84814;55.3355;5899;249;647;413;17639
12:00;37.5282;55.35794;15880;497;2205;752;70839
12:00;36.74998;55.38248;14594;8549;7492;5266;25219
12:00;37.5346;55.38369;7664;281;865;1065;29409
12:00;37.80654;55.39531;2700;274;780;194;8377
12:00;37.5478;55.40448;8324;356;766;1209;29702
12:00;38.6571;55.4059;6232;165;401;712;14694
12:00;37.83157;55.4192;4023;50;548;46;8894
12:00;38.56277;55.42597;3275;699;1140;4048;17048
12:00;37.56491;55.43222;97992;4214;8312;11673;350274
12:00;37.77329;55.44;102920;2774;3676;307;136541
12:00;37.77329;55.44;38324;1937;5728;4862;189431
12:00;38.49516;55.44478;6044;79;362;76;14034
12:00;37.55496;55.47304;27792;753;1406;1267;61888
12:00;36.91761;55.48011;2135;619;964;683;4100
12:00;37.73243;55.48796;1467;53;131;95;5157
12:00;36.03236;55.49372;5386;2560;2763;1153;8252
12:00;38.36408;55.4994;2415;393;870;194;16946
12:00;37.56115;55.51042;42271;1020;2994;2374;90974
12:00;38.34258;55.5146;2685;87;144;191;14416
12:00;37.70999;55.51604;4993;30;131;553;8401
12:00;36.9687;55.5168;12756;2198;2432;2743;18990
12:00;36.9924;55.52745;1121;176;396;109;2264
12:00;37.57046;55.54131;24761;524;691;687;110770
12:00;37.0385;55.54155;1986;3;11;0;7898
12:00;38.29416;55.54219;2576;145;316;221;8687
12:00;36.37242;55.54715;1823;214;237;459;3967
12:00;37.68658;55.54854;54141;1184;4291;3526;96868
12:00;37.06702;55.54978;25545;2732;5557;3640;42974
12:00;38.24974;55.55542;1218;18;113;25;5151
12:00;38.24974;55.55542;1140;240;465;108;3353
12:00;37.66938;55.56459;1691;58;183;111;3763
12:00;37.09317;55.56462;2351;201;410;14;8039
12:00;38.22892;55.56516;50431;7168;5243;11253;205887
12:00;37.61143;55.57047;6864;135;313;0;17770
12:00;38.8228;55.57171;2069;40;99;345;4776
12:00;38.92341;55.57355;22203;180;324;2487;81209
12:00;38.76089;55.57378;10758;46;148;1161;11377
12:00;39.52103;55.57407;1847;1523;2546;694;5418
12:00;37.11183;55.57839;2195;305;433;105;4413
12:00;36.63751;55.57857;2366;3;18;329;4724
12:00;36.69181;55.57877;10204;378;695;853;49272
12:00;38.18278;55.58306;2381;219;503;274;7276
12:00;37.66093;55.58452;33233;2678;5367;5589;69414
12:00;36.56987;55.58454;2042;9;70;26;2737
12:00;37.6141;55.58916;20622;303;648;2945;38825
12:00;36.74565;55.58952;1507;2;7;0;3463
12:00;36.53402;55.59083;1679;10;42;119;2714
12:00;37.65336;55.59246;93784;4758;9530;6756;148332
12:00;38.1599;55.5925;3839;363;879;571;14242
12:00;36.46794;55.59789;11530;70;187;1490;53047
12:00;37.16926;55.59883;18548;2144;3778;2353;27098
12:00;38.61111;55.60003;4099;52;84;30;5347
12:00;38.13488;55.60185;40838;2152;5503;4717;141843
12:00;37.63082;55.60262;22881;97;242;41;34589
12:00;36.82462;55.60309;5203;80;223;418;17358
12:00;37.18608;55.6073;5406;558;1212;620;10151
12:00;38.44363;55.61014;3483;384;740;480;11730
12:00;36.87154;55.61129;13652;98;288;12;24469
12:00;38.4134;55.61498;1095;54;102;43;4060
12:00;36.98779;55.61504;56033;1864;3927;3635;189851
12:00;38.1019;55.61612;65548;1398;2547;4665;143960
12:00;38.07066;55.62584;34500;1857;3867;2757;97068
12:00;37.2181;55.62958;15888;1090;2919;1123;26711
12:00;38.04463;55.63496;25150;1449;2809;2474;58984
12:00;38.20231;55.63631;4999;0;2;6;11516
12:00;38.27401;55.6368;1327;1;0;13;5567
12:00;37.68774;55.64001;6590;616;1322;418;24334
12:00;37.09965;55.64222;10499;163;588;1250;71909
12:00;38.00916;55.64481;51581;2822;5806;6815;138003
12:00;37.31598;55.6474;4625;231;688;17;10127
12:00;38.10978;55.6477;3937;75;277;125;7839
12:00;37.26556;55.64952;29122;1462;1572;8;29125
12:00;37.26556;55.64952;13375;509;1394;606;22828
12:00;37.15326;55.65015;2665;193;628;209;8048
