date;lat;lon;Вход;Выход;Разница
5:00;37.3622257;55.8458623;320;2;318
5:00;37.3824179;55.8356604;84;0;84
5:00;37.3855554;55.825092;8;0;8
5:00;37.4031859;55.8037346;352;7;345
5:00;37.4082585;55.7568353;196;9;187
5:00;37.4169177;55.7408429;364;27;337
5:00;37.4363874;55.860731;502;26;476
5:00;37.4366398;55.8264976;556;97;459
5:00;37.4397991;55.8503173;704;21;683
5:00;37.4459574;55.7308185;46;29;17
5:00;37.4460094;55.7307016;171;17;154
5:00;37.4643097;55.8085823;376;49;327
5:00;37.4671944;55.7359279;31;7;24
5:00;37.4707354;55.7296453;227;26;201
5:00;37.4761955;55.8548635;519;41;478
5:00;37.4832383;55.6636112;597;38;559
5:00;37.4834225;55.7394565;77;15;62
5:00;37.4865846;55.8400444;389;19;370
5:00;37.4937378;55.7933364;281;60;221
5:00;37.4978443;55.7436954;78;34;44
5:00;37.4978477;55.8190209;443;65;378
5:00;37.506415;55.6767308;485;17;468
5:00;37.5080944;55.6186964;517;29;488
5:00;37.5148913;55.8049784;228;62;166
5:00;37.5149237;55.7460754;142;36;106
5:00;37.5177438;55.7362565;44;34;10
5:00;37.5190729;55.6330883;189;17;172
5:00;37.5194078;55.7775074;209;172;37
5:00;37.5262001;55.6425059;293;30;263
5:00;37.5324136;55.8002374;137;64;73
5:00;37.5337173;55.6062069;589;15;574
5:00;37.5340698;55.692163;234;23;211
5:00;37.53429;55.7400038;26;14;12
5:00;37.534383;55.7483228;50;20;30
5:00;37.5401361;55.6567573;231;113;118
5:00;37.5413387;55.7500562;74;11;63
5:00;37.5464401;55.7735045;107;163;-56
5:00;37.5483675;55.7388362;36;10;26
5:00;37.5528619;55.6016929;183;4;179
5:00;37.5547367;55.670291;327;57;270
5:00;37.5581576;55.7897125;117;91;26
5:00;37.5591032;55.7103574;14;10;4
5:00;37.5615355;55.7645028;148;177;-29
5:00;37.5629779;55.6779484;215;56;159
5:00;37.5637548;55.7233832;107;43;64
5:00;37.5660392;55.7444645;995;132;863
5:00;37.5663098;55.7437756;492;131;361
5:00;37.5736132;55.6878389;258;52;206
5:00;37.5740376;55.8347143;821;105;716
5:00;37.5756626;55.8182119;460;67;393
5:00;37.5768339;55.56931;1195;16;1179
5:00;37.5773899;55.7605891;79;56;23
5:00;37.5794779;55.726854;109;52;57
5:00;37.5798606;55.7609017;57;98;-41
5:00;37.5812016;55.8074277;195;96;99
5:00;37.5822992;55.7473712;157;110;47
5:00;37.5826348;55.7487722;23;21;2
5:00;37.5837069;55.7766908;243;91;152
5:00;37.5840306;55.7761643;382;187;195
5:00;37.5859796;55.7077138;130;102;28
5:00;37.5873192;55.8978497;583;17;566
5:00;37.5876906;55.7928665;201;146;55
5:00;37.5898414;55.8472205;263;45;218
5:00;37.5943769;55.7355873;88;75;13
5:00;37.5943769;55.7355873;0;0;0
5:00;37.5957904;55.7701264;72;129;-57
5:00;37.5964216;55.582549;235;19;216
5:00;37.5981698;55.6529571;241;92;149
5:00;37.598314;55.6520286;102;5;97
5:00;37.6007529;55.7518731;10;11;-1
5:00;37.6009269;55.5951773;357;21;336
5:00;37.6020659;55.779514;73;101;-28
5:00;37.6024384;55.8836915;637;26;611
5:00;37.6029929;55.7803918;24;83;-59
5:00;37.6032245;55.7450091;32;80;-48
5:00;37.6041499;55.6124609;635;50;585
5:00;37.6048165;55.8634536;724;48;676
5:00;37.6056238;55.7653522;102;176;-74
5:00;37.6056692;55.6627149;188;49;139
5:00;37.6066657;55.7508858;4;32;-28
5:00;37.6067634;55.64069;517;63;454
5:00;37.6068123;55.7521318;86;105;-19
5:00;37.60792;55.7194704;109;98;11
5:00;37.608832;55.7524514;24;42;-18
5:00;37.6091534;55.7295817;42;83;-41
5:00;37.6091666;55.622278;360;36;324
5:00;37.6097183;55.7649696;66;92;-26
5:00;37.6103732;55.6722659;127;26;101
5:00;37.6118212;55.730075;24;76;-52
5:00;37.6150302;55.7813266;38;22;16
5:00;37.61611;55.7953478;122;49;73
5:00;37.616177;55.7577183;54;197;-143
5:00;37.6176267;55.7379525;30;81;-51
5:00;37.6187593;55.6533004;434;101;333
5:00;37.6188598;55.7710979;52;72;-20
5:00;37.6202837;55.7685309;30;45;-15
5:00;37.621965;55.7566721;82;78;4
5:00;37.6220906;55.7287137;49;80;-31
5:00;37.6227483;55.6830582;279;114;165
5:00;37.6231936;55.7087682;177;157;20
5:00;37.6248369;55.7274387;82;103;-21
5:00;37.626016;55.7607712;58;128;-70
5:00;37.6270765;55.7408687;41;132;-91
5:00;37.6279157;55.7598754;35;55;-20
5:00;37.6290658;55.7417709;75;179;-104
