time;lgt;lat;age;price_real;price_want;pay_month_real;pay_month_want;income;pay1_always;pay2_prefer;pay3_sometimes;pay4_partly;pay5_never;educ;arrival_mode1_metro;arrival_mode3_taxibus;arrival_mode4_walk;arrival_mode5_car;arrival_mode2_bus;depart_mode1_metro;depart_mode2_bus;depart_mode3_taxibus;depart_mode4_walk;depart_mode5_car;income_state;sticket1_oneway;sticket2_return;sticket3_quantity;sticket4_day;sticket5_somedays;sticket6_month;sticket7_workday;sticket8_workmonth;sticket9_weekendmonth;sticket10_bm;why_have_privilege;why_expensive;why_no_office;why_no_time;why_pay_ticket_collector;why_pay_penalty;why_can_run;why_so_close;what_pay_for_zone_where_board;what_pay_for_some_zones;what_pay_for_major_part_of_trip;what_pay_for_one_zone_enter_exit;what_buy_ticket_collector_destan;what_buy_ticket_collector_neares;what_do_not_pay;what_pay_for_one_zone;conditions_price;conditions_sticket;conditions_penalty;conditions_comfort;conditions_tariff;price_strategy;pay_comfort;state_payforconfidence;state_worryhare;state_noplan;state_nocash;state_planexp;state_timediscount;state_trust;state_transport;state_quality;state_town;good_closeness;good_accuracy;good_nochoice;good_price;bad_schedule;bad_crowd;bad_time;bad_train;bad_price;bad_queue;bad_music;value_schedule;value_price;value_time;value_comfort;value_nocrowd;value_accuracy;value_service;value_safety;sputnik_freq;expess_freq;car_freq;bus_freq;est_train_time;est_train_price;est_train_comfort;est_bus_time;est_bus_price;est_bus_comfort;est_taxibus_time;est_taxibus_price;est_taxibus_comfort;est_car_time;est_car_price;est_car_comfort;bus_time;bus_price;pricea;priceb;pricec;priced;sticket21_cheaper;sticket22_quicker;sticket23_nobenefit;sticket24_express;sticket25_diverse;sticket26_complicated;sticket27_noknowledge;sticket_w1_oneway;sticket_w2_return;sticket_w3_quantity;sticket_w4_day;sticket_w5_weekend;sticket_w6_month;sticket_w7_workday;sticket_w8_workday_rush;sticket_w9_workday_norush;sticket_w10_combined;freq1;freq2;freq3;freq4;day1_random;day2_weekend;day3_workday;day4_all;day2_2t2;purpose1_work;purpose2_study;purpose3_dacha;purpose4_random;delay1_non;delay2_short;delay3_long;delay4_free;station_from_rzd
12:00;37.45057;54.962;21;76.5;40;2000;900;;0;0;1;0;0;2;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;4;3;1;2;;2;4;1;3;5;5;5;1;3;5;5;2;5;2;5;1;2;5;4;2;3;5;;;5;5;4;3;4;;;1;;1;4;4;3;4;3;3;3;4;4;3;5;5;5;70;170;70;40;60;40;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;¿¬¿Õ√¿–ƒ
12:00;37.83157;55.4192;30;;30;400;1300;7500;;;;;;2.5;;;;;;;;;;;3;;;;;;;;;;;;1;0;0;0;0.5;0;0;;0.5;0;;0;0;0;1;4.5;;3;2;2;2.5;;;;;;;;;;;;3;3;2;3;2;2;2;2;2.5;;2.5;4.5;5;3;3;3;4;3;2;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.5;0.5;;1;0;0;0;;;;;¿¬»¿÷»ŒÕÕ¿ﬂ
12:00;36.9924;55.5275;31;100;55;2700;1500;30000;0.25;0.25;0.25;0.25;0;3.5;0.25;0;0.5;0;0;0;0.25;0.25;0.25;0.25;3;0;0.5;0.25;0.25;0;0;0;0;0;0;0;0.6666667;0;0;0;0.3333333;0;0;0;0.3333333;0;0.3333333;0.25;0;0;;2;2.333333;2;4.5;;2;2.75;3;4;2.5;2.75;1.25;3.75;2.25;3.666667;4;3;2.75;3;2;4;3.25;3.5;3.333333;3.333333;4.333333;4.333333;;3;3.75;4;4.25;3.5;5;;;1.25;2.33333;3;4.666667;4.25;3.5;3.66667;3.33333;3.33333;3;3.33333;3;3.66667;3.66667;3;4;40;75;203.33333;40;46.666667;50;0.5;0;0.25;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0;0;0;0;0;1;0.5;0;0.25;0.25;0;0.5;0;0.25;0;0.25;0.25;0.25;0.25;¿À¿¡»ÕŒ
12:00;37.06702;55.5498;29;82;50;2327.5;1500;22500;0.4464286;0.1785714;0.0178571;0.1785714;0.1785714;2.675926;0.6785714;0.0892857;0.3928571;0.0892857;0.1428571;0.1034483;0.1034483;0.0517241;0.6896552;0.1551724;3.219048;0.2241379;0.4655173;0.0517241;0;0.0172414;0.0517241;0.0517241;0.1206897;0;0.0344828;0.1428571;0.3148148;0.0555556;0.1574074;0.0740741;0.0277778;0.1111111;0.0555556;0.0727273;0.0934579;0.0560748;0.1636364;0.1272727;0.0181818;0.1272727;0.1206897;3.388889;2.677419;2.346939;2.584906;3.88235;1.930556;2.327586;3.150943;3.111111;3.425926;2.48;2.735849;3.288461;2.153846;3.62963;3.763636;2.851852;3.164948;3.464646;2.353535;2.57732;2.393939;3;2.556701;3.176471;3.485437;3.326531;2.5;4.28723;4.481132;4.425743;4.254902;4.089109;4.655172;4.38;4.66;1.377778;2.04878;1.71134;1.642857;3.75472;2.78431;3.09804;3.65217;2.98148;3.2;3.05882;3.97959;2.86792;3.42857;3.48;4.6;41.75;160.72414;127.24138;35.483871;58.326923;37.931034;0.2280702;0.1578947;0.1929825;0.0701754;0.0526316;0.0350877;0.0701754;0.1071429;0.1428571;0.5535714;1794.696;0.0178571;0.1071429;0.1607143;0.0892857;0.0357143;0.0178571;0;0.111111;0.111111;0.777778;0.165138;0.018349;0.53211;0.247706;0.070175;0.6363636;0.2363636;0.0090909;0.0636364;0.137931;0.517241;0.241379;0.068966;¿œ–≈À≈¬ ¿
12:00;37.946861;56.1613;34.5;99;45;1500;1000;;0.5;0.5;0;0;0;4;1;0;0;0;1;0;0;0;1;0;3;0;0;0.5;0;0;0;0.5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;3;1;2;;1;2.5;2.5;3;2.5;1.5;1.5;4;2.5;3.5;3;3.5;4;3;5;3;1;4;1;2;3;3;;;5;5;5;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;1;0;0;1;0;0;0.5;0.5;0;0;0.5;¿ÿ” »Õ— ¿ﬂ
12:00;37.31532;55.6824;29.5;16;16.5;700;775;35000;0.8;0;0;0;0.2;3.181818;0.8;0;0.8;0;;0;0.2;0.2;0.8;0;3.6;0.2;0.2;0.2;0;0;0;0;0.4;0;0;0.4;0.1818182;0.0909091;0.1818182;0;0;0;0;0;0.0909091;0.0909091;0;0.0909091;0;0.1818182;0;3.666667;1;2.666667;2;4.5;1.142857;3.4;3.6;4.6;2.8;2;2.8;4.2;2.2;4.4;4.6;3.2;3;3.363636;2.4;3.6;3.3;4.1;2.111111;4.111111;3;4.25;3.2;4.63636;3.8;4;4.2;4.545455;4.8;4;4.16667;1;2;1.6;1.6;4.4;2.75;2.75;2.75;3.6;2.75;3.5;2.75;2.2;3.75;2.33333;5;53.333333;50;76.666667;22.5;47.5;22.5;0.2;0;0.2;0;0;0;0.2;0.2;0;0.2;0;0;0.2;0.4;0;0;0;;;;;0.181818;0;0.454545;0.363636;0;0.7272727;0.1818182;0;0.0909091;0;0.8;0.2;0;¡¿ Œ¬ ¿
12:00;37.94942;55.8096;36;58;37.5;1000;950;22500;0.6;0.1;0.2;0.1;0;3;0.8;0.1;0.2;0;0;0.1;0.1;0.1;0.7;0;3.297297;0.5;0.2;0;0;0;0;0;0.1;0;0.2;0;0.4166667;0.1666667;0.1944444;0.0277778;0.1111111;0.0555556;0.0833333;0.1111111;0.1111111;0.25;0.1111111;0.027027;0;0.0540541;0.3103448;4.454545;3;2.666667;2.0625;3.25;2.037037;2;3.555556;4;4.3;2.777778;3.375;3.444444;2;4.555555;4.2;4;2.875;3.542857;1.848485;2;3.242424;3.193548;2.037037;2.793103;2.774194;3;2.40909;4.75;4.090909;4.235294;3.78125;3.90625;4.555556;3.375;4;1;1;1.060606;1.485714;4.16667;2.5;3.5;3.6;2.85714;3.16667;2.57143;2.4;3;3.66667;3.42857;5;52.5;41.25;64;26.25;37.5;25.833333;0.2;0.1;0.2;0;0.2;0;0.2;0.2;0.2;0;0;0;0.2;0.3;0;0;0;0;0;0.333333;0.666667;0.081081;0.081081;0.594595;0.216216;0.1;0.8378378;0.027027;0;0.0810811;0.2;0.6;0;0;¡¿À¿ÿ»’¿
12:00;37.89449;55.2694;23;82;41;2000;1215;17500;0.4;0.2;0.0888889;0.2444444;0.0888889;2.866667;0.4883721;0.1162791;0.3488372;0.0697674;0.1764706;0.1395349;0.2790698;0.1395349;0.4883721;0.0232558;3.175;0.3777778;0.2666667;0.0444444;0.0222222;0.0444444;0.0444444;0.1111111;0.0666667;0;0.0444444;0.125;0.547619;0.0238095;0.2857143;0.0238095;0;0.0714286;0.0714286;0.1578947;0.1;0.1;0.1578947;0.1276596;0.0425532;0.1702128;0.2142857;3.545455;2.714286;2.413793;2.9;5;1.925;2.155556;3.075;3.275;3.45;2.575;2.891892;2.973684;2.102564;3.04878;3.95;2.783784;3.305556;3.564103;3.975;2.971429;3.35;3.75;3.525;3.9;4.073171;3.769231;2.5;4.24;4.454545;4.333333;4.261905;4.219512;4.8;4.5;5;1.459459;1.54545;2.268293;2.2;3.51515;2.84375;3.15152;3.54839;3.03226;2.93548;2.9375;3.31034;2.9375;3.77419;3.26667;4.73333;65.25;88.578947;137.67647;45.857143;74.466667;45.6;0.1;0.1;0.325;0.05;0.075;0.025;0.125;0.225;0.15;0.1;0.025;0.05;0.125;0.025;0.025;0;0.05;0;0.052632;0.052632;0.894737;0.170213;0.12766;0.468085;0.212766;0.022222;0.5957447;0.2553191;0.0212766;0.0851064;0.311111;0.488889;0.155556;0;¡¿–€¡»ÕŒ
12:00;38.08218;55.8833;21;50;35;1850;1000;41500;0.5555556;0.2222222;0;0.2222222;0;2;0.4444444;0.1111111;0.4444444;0;0.2;0;0.1111111;0;1;0;2.428571;0.2222222;0.6666667;0;0;0;0;0;0.1111111;0;0;0.1666667;0.3333333;0.1666667;0.5;0;0;0;0;0;0.1666667;0;0.1666667;0;0.1111111;0.1111111;0;4;2.2;2.2;2.4;;2.125;3;2.75;3.125;3.625;2.777778;2.666667;2.75;2.111111;3.444444;3.625;2.625;2.857143;3.428571;4.375;2.428571;3.333333;3.555556;2.888889;3;3.75;3.444444;;2.75;4.222222;3.777778;4.222222;3.888889;4.2;;;1.555556;2;1.333333;2.555556;3.77778;3.125;2.75;2.875;3;3.33333;3.125;2.66667;3.5;4.5;3.77778;4.5;43.333333;44.166667;122.14286;20;52.142857;24.285714;0.1111111;0.2222222;0.2222222;0;0.1111111;0;0.1111111;0.1111111;0.1111111;0;0;0;0.1111111;0.1111111;0.2222222;0;0.1111111;0;0;0;1;0;0;0.222222;0.777778;0;0.5555556;0.6666667;0;0;0.444444;0.444444;0;0;¡¿’◊»¬¿Õƒ∆»
12:00;37.43;55.7756;34;54.75;35;750;650;20000;0.3333333;0.5555556;0.1111111;0;0;3.111111;0.6666667;0;0.3333333;0;0;0.5;0.25;0.125;0.25;0;3.111111;0.4444444;0.4444444;0.1111111;0;0;0;0;0.1111111;0;0;0;0.3333333;0.1111111;0.4444444;0;0;0;0;0.3333333;0.1111111;0.1111111;0.1111111;0;0;0.1111111;0.5;3.4;2.8;2.6;2.6;;1.25;2.444444;3.625;3.75;4.5;3.375;2.25;2.571429;2;3.125;4.125;3.625;3.666667;4.285714;3.666667;2.714286;3;4.444444;3.777778;3.444444;3.333333;3.444444;;4.6;4.111111;4.444444;4.125;4.222222;4.5;;;1.125;1;2.666667;1.75;4;3.14286;2.85714;3.83333;3.57143;2.57143;2.71429;3.5;3.71429;4.14286;3.71429;5;45;76.666667;81.25;27.4;69.8;29.6;0;0.125;0.25;0.125;0.125;0;0.25;0.125;0.5;0;0;0;0.25;0.125;0;0;0;0.5;0.25;0;0.25;0.111111;0.333333;0.222222;0.333333;0;0.3333333;0.3333333;0;0.2222222;0.222222;0.444444;0.111111;0.111111;¡≈√Œ¬¿ﬂ
